F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S uk          4121    4069  0  80   0 - 8467998 futex_ 09:32 ?      00:00:00 /proc/self/exe --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-sandbox --crashpad-handler-pid=4086 --enable-crash-reporter=fc63d0a9-3871-4c8e-953d-405a5d4c459b,no_channel --user-data-dir=/home/uk/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,11372052873344203268,16563851442597728024,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041
1 S uk          4180    4072  5  80   0 - 366196624 futex_ 09:32 ?    00:01:58 /snap/code/217/usr/share/code/code --type=zygote --no-sandbox
0 S uk          4212    4069  1  80   0 - 8496819 do_pol 09:32 ?      00:00:32 /proc/self/exe --type=gpu-process --disable-gpu-sandbox --no-sandbox --ozone-platform=x11 --crashpad-handler-pid=4086 --enable-crash-reporter=fc63d0a9-3871-4c8e-953d-405a5d4c459b,no_channel --user-data-dir=/home/uk/.config/Code --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAQAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --use-gl=angle --use-angle=swiftshader-webgl --shared-files --field-trial-handle=3,i,11372052873344203268,16563851442597728024,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708992871164437
0 S uk          4238    4069  0  80   0 - 365329048 futex_ 09:32 ?    00:00:04 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --crashpad-handler-pid=4086 --enable-crash-reporter=fc63d0a9-3871-4c8e-953d-405a5d4c459b,no_channel --user-data-dir=/home/uk/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,11372052873344203268,16563851442597728024,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708993808206286
0 S uk          4239    4069  0  80   0 - 365333306 futex_ 09:32 ?    00:00:02 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --crashpad-handler-pid=4086 --enable-crash-reporter=fc63d0a9-3871-4c8e-953d-405a5d4c459b,no_channel --user-data-dir=/home/uk/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,11372052873344203268,16563851442597728024,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708994745248135
0 S uk          4264    4069  0  80   0 - 365333413 futex_ 09:32 ?    00:00:12 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --crashpad-handler-pid=4086 --enable-crash-reporter=fc63d0a9-3871-4c8e-953d-405a5d4c459b,no_channel --user-data-dir=/home/uk/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,11372052873344203268,16563851442597728024,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708995682289984
0 S uk          4341    4264  0  80   0 - 23765 unix_s 09:33 ?        00:00:14 /home/uk/.vscode/extensions/ms-vscode.cpptools-1.29.3-linux-x64/bin/cpptools
1 I root        4408       2  0  80   0 -     0 -      09:33 ?        00:00:00 [kworker/0:0-i915-unordered]
0 S uk          4451    1971  0  80   0 - 1066046 hrtime 09:35 ?      00:00:00 /home/uk/.vscode/extensions/ms-vscode.cpptools-1.29.3-linux-x64/bin/cpptools-srv 4341 {EFCBEFEB-610C-4F15-A023-B8AE07E1BEC5}
0 S uk          4497    1971  0  80   0 - 213456 do_pol 09:35 ?       00:00:15 /usr/libexec/gnome-terminal-server
4 S root        4557       1  0  80   0 - 122796 -     09:37 ?        00:00:03 /usr/libexec/fwupd/fwupd
0 S uk          4800    2349  1  80   0 - 454698 do_pol 09:47 ?       00:00:12 /usr/bin/gnome-text-editor
1 I root        4846       2  0  80   0 -     0 -      09:47 ?        00:00:00 [kworker/u32:0-events_unbound]
1 I root        4868       2  0  80   0 -     0 -      09:53 ?        00:00:00 [kworker/u32:1-events_unbound]
1 I root        4882       2  0  80   0 -     0 -      09:54 ?        00:00:00 [kworker/4:0-events]
1 I root        4883       2  0  60 -20 -     0 -      09:54 ?        00:00:00 [kworker/u33:2-rb_allocator]
1 I root        4891       2  0  80   0 -     0 -      09:55 ?        00:00:00 [kworker/7:2-events]
1 I root        4914       2  0  80   0 -     0 -      09:58 ?        00:00:00 [kworker/3:1-events]
1 I root        4917       2  0  80   0 -     0 -      09:58 ?        00:00:00 [kworker/5:2-i915-unordered]
1 I root        4919       2  0  80   0 -     0 -      09:59 ?        00:00:00 [kworker/u32:2-events_unbound]
1 I root        4920       2  0  80   0 -     0 -      09:59 ?        00:00:00 [kworker/1:1-events]
1 I root        4923       2  0  80   0 -     0 -      10:01 ?        00:00:00 [kworker/7:1-events_freezable]
1 I root        4924       2  0  80   0 -     0 -      10:01 ?        00:00:00 [kworker/2:2-events]
1 I root        4928       2  0  80   0 -     0 -      10:02 ?        00:00:00 [kworker/6:2]
0 S uk          4935    4497  0  80   0 -  4922 do_sel 10:02 pts/1    00:00:00 bash
1 I root        4956       2  0  80   0 -     0 -      10:03 ?        00:00:00 [kworker/5:0-i915-unordered]
0 S uk          4959    4497  0  80   0 -  4922 do_wai 10:03 pts/0    00:00:00 bash
1 I root        4967       2  0  60 -20 -     0 -      10:04 ?        00:00:00 [kworker/u33:1]
1 I root        4969       2  0  80   0 -     0 -      10:04 ?        00:00:00 [kworker/0:1-i915-unordered]
1 I root        4999       2  0  80   0 -     0 -      10:05 ?        00:00:00 [kworker/3:2]
1 I root        5000       2  0  80   0 -     0 -      10:05 ?        00:00:00 [kworker/u32:3-events_unbound]
1 I root        5002       2  0  80   0 -     0 -      10:07 ?        00:00:00 [kworker/2:0-events]
0 R uk          5003    4959 99  80   0 -  5616 -      10:07 pts/0    00:00:00 ps -elf
